"InterPro"	"n_CNV_GO"	"n_GO"	"n_CNV"	"n_gene_total"	"pvalue"	"significant"	"list"
"IPR027417 P-loop containing nucleoside triphosphate hydrolase"	1	348	148	17501	0.949473279614822	FALSE	"list_cnv_geob_cheese"
"IPR003593 AAA+ ATPase domain"	1	93	148	17501	0.547019352105272	FALSE	"list_cnv_geob_cheese"
"IPR001878 Zinc finger, CCHC-type"	3	10	148	17501	6.80874895488081e-05	TRUE	"list_cnv_geob_cheese"
"IPR004875 DDE superfamily endonuclease domain"	1	23	148	17501	0.177538546175095	FALSE	"list_cnv_geob_cheese"
"IPR036397 Ribonuclease H superfamily"	3	34	148	17501	0.00292652380467725	FALSE	"list_cnv_geob_cheese"
"IPR036291 NAD(P)-binding domain superfamily"	1	132	148	17501	0.675432135521554	FALSE	"list_cnv_geob_cheese"
"IPR001905 Ammonium transporter"	1	6	148	17501	0.0496861987086574	FALSE	"list_cnv_geob_cheese"
"IPR024041 Ammonium transporter AmtB-like domain"	1	6	148	17501	0.0496861987086574	FALSE	"list_cnv_geob_cheese"
"IPR029020 Ammonium/urea transporter"	1	6	148	17501	0.0496861987086574	FALSE	"list_cnv_geob_cheese"
"IPR008640 Trimeric autotransporter adhesin YadA-like, head domain"	1	1	148	17501	0.0084566596194503	FALSE	"list_cnv_geob_cheese"
"IPR011049 Serralysin-like metalloprotease, C-terminal"	1	1	148	17501	0.0084566596194503	FALSE	"list_cnv_geob_cheese"
"IPR001584 Integrase, catalytic core"	3	9	148	17501	4.79586384197659e-05	TRUE	"list_cnv_geob_cheese"
"IPR012337 Ribonuclease H-like superfamily"	3	35	148	17501	0.00318122710911664	FALSE	"list_cnv_geob_cheese"
"IPR013103 Reverse transcriptase, RNA-dependent DNA polymerase"	2	6	148	17501	0.00104205208964009	TRUE	"list_cnv_geob_cheese"
"IPR025724 GAG-pre-integrase domain"	3	5	148	17501	5.85333860295668e-06	TRUE	"list_cnv_geob_cheese"
"IPR043502 DNA/RNA polymerase superfamily"	2	20	148	17501	0.0122144681667629	FALSE	"list_cnv_geob_cheese"
"IPR001509 NAD-dependent epimerase/dehydratase"	1	16	148	17501	0.12710537525098	FALSE	"list_cnv_geob_cheese"
"IPR001683 Phox homology"	1	15	148	17501	0.119654204154957	FALSE	"list_cnv_geob_cheese"
"IPR036871 PX domain superfamily"	1	15	148	17501	0.119654204154957	FALSE	"list_cnv_geob_cheese"
"IPR021858 Fungal transcription factor"	1	15	148	17501	0.119654204154957	FALSE	"list_cnv_geob_cheese"
"IPR005829 Sugar transporter, conserved site"	1	15	148	17501	0.119654204154957	FALSE	"list_cnv_geob_cheese"
"IPR003840 DNA helicase"	1	2	148	17501	0.0168422832980976	FALSE	"list_cnv_geob_cheese"
"IPR010285 DNA helicase Pif1-like"	1	4	148	17501	0.0334027886279645	FALSE	"list_cnv_geob_cheese"
"IPR005599 GPI mannosyltransferase"	1	3	148	17501	0.0251574637125139	FALSE	"list_cnv_geob_cheese"
"IPR005162 Retrotransposon gag domain"	1	4	148	17501	0.0334027886279645	FALSE	"list_cnv_geob_cheese"
"IPR018047 Ammonium transporter, conserved site"	1	5	148	17501	0.0415788409388214	FALSE	"list_cnv_geob_cheese"
"IPR002229 Blood group Rhesus C/E/D polypeptide"	1	1	148	17501	0.0084566596194503	FALSE	"list_cnv_geob_cheese"
"IPR035179 Protein of unknown function DUF5314"	1	1	148	17501	0.0084566596194503	FALSE	"list_cnv_geob_cheese"
"IPR039484 Alpha-1,2-mannosyltransferase ALG9-like"	1	2	148	17501	0.0168422832980976	FALSE	"list_cnv_geob_cheese"
"IPR001466 Beta-lactamase-related"	2	4	148	17501	0.000421488966163515	TRUE	"list_cnv_geob_cheese"
"IPR012338 Beta-lactamase/transpeptidase-like"	2	4	148	17501	0.000421488966163515	TRUE	"list_cnv_geob_cheese"
"IPR000727 Target SNARE coiled-coil homology domain"	1	9	253	17501	0.122858215601006	FALSE	"list_cnv_cheese_diff"
"IPR036259 MFS transporter superfamily"	2	73	253	17501	0.284752304512723	FALSE	"list_cnv_cheese_diff"
"IPR011701 Major facilitator superfamily"	2	46	253	17501	0.142727001813767	FALSE	"list_cnv_cheese_diff"
"IPR020846 Major facilitator superfamily domain"	2	49	253	17501	0.157813185253988	FALSE	"list_cnv_cheese_diff"
"IPR021109 Aspartic peptidase domain superfamily"	2	11	253	17501	0.0105051758913425	FALSE	"list_cnv_cheese_diff"
"IPR027417 P-loop containing nucleoside triphosphate hydrolase"	2	348	253	17501	0.962848194398895	FALSE	"list_cnv_cheese_diff"
"IPR017927 FAD-binding domain, ferredoxin reductase-type"	1	16	253	17501	0.207917618904815	FALSE	"list_cnv_cheese_diff"
"IPR017938 Riboflavin synthase-like beta-barrel"	1	17	253	17501	0.21937869081886	FALSE	"list_cnv_cheese_diff"
"IPR039261 Ferredoxin-NADP reductase (FNR), nucleotide-binding domain"	1	18	253	17501	0.230674572266059	FALSE	"list_cnv_cheese_diff"
"IPR001357 BRCT domain"	1	12	253	17501	0.160372779772982	FALSE	"list_cnv_cheese_diff"
"IPR003593 AAA+ ATPase domain"	1	93	253	17501	0.742786374288937	FALSE	"list_cnv_cheese_diff"
"IPR036420 BRCT domain superfamily"	1	13	253	17501	0.172519025225405	FALSE	"list_cnv_cheese_diff"
"IPR013083 Zinc finger, RING/FYVE/PHD-type"	1	58	253	17501	0.570861045048802	FALSE	"list_cnv_cheese_diff"
"IPR001878 Zinc finger, CCHC-type"	2	10	253	17501	0.00867734188293473	FALSE	"list_cnv_cheese_diff"
"IPR004875 DDE superfamily endonuclease domain"	3	23	253	17501	0.00426911647684019	FALSE	"list_cnv_cheese_diff"
"IPR006600 HTH CenpB-type DNA-binding domain"	1	14	253	17501	0.184490244725518	FALSE	"list_cnv_cheese_diff"
"IPR036397 Ribonuclease H superfamily"	2	34	253	17501	0.0863619970673718	FALSE	"list_cnv_cheese_diff"
"IPR001138 Zn(2)-C6 fungal-type DNA-binding domain"	1	28	253	17501	0.335053253056177	FALSE	"list_cnv_cheese_diff"
"IPR036864 Zn(2)-C6 fungal-type DNA-binding domain superfamily"	1	28	253	17501	0.335053253056177	FALSE	"list_cnv_cheese_diff"
"IPR036291 NAD(P)-binding domain superfamily"	4	132	253	17501	0.124615521308289	FALSE	"list_cnv_cheese_diff"
"IPR001849 Pleckstrin homology domain"	1	30	253	17501	0.354170556192392	FALSE	"list_cnv_cheese_diff"
"IPR009057 Homeobox-like domain superfamily"	1	40	253	17501	0.441850171295729	FALSE	"list_cnv_cheese_diff"
"IPR032675 Leucine-rich repeat domain superfamily"	1	29	253	17501	0.344681337928654	FALSE	"list_cnv_cheese_diff"
"IPR011051 RmlC-like cupin domain superfamily"	1	13	253	17501	0.172519025225405	FALSE	"list_cnv_cheese_diff"
"IPR014710 RmlC-like jelly roll fold"	1	19	253	17501	0.241807634853526	FALSE	"list_cnv_cheese_diff"
"IPR013783 Immunoglobulin-like fold"	1	13	253	17501	0.172519025225405	FALSE	"list_cnv_cheese_diff"
"IPR014756 Immunoglobulin E-set"	1	17	253	17501	0.21937869081886	FALSE	"list_cnv_cheese_diff"
"IPR032640 AMP-activated protein kinase, glycogen-binding domain"	1	5	253	17501	0.0702295209643108	FALSE	"list_cnv_cheese_diff"
"IPR003829 Pirin, N-terminal domain"	1	8	253	17501	0.10998600728007	FALSE	"list_cnv_cheese_diff"
"IPR008778 Pirin, C-terminal domain"	1	7	253	17501	0.0969256546231392	FALSE	"list_cnv_cheese_diff"
"IPR012093 Pirin"	1	8	253	17501	0.10998600728007	FALSE	"list_cnv_cheese_diff"
"IPR016491 Septin"	1	9	253	17501	0.122858215601006	FALSE	"list_cnv_cheese_diff"
"IPR030379 Septin-type guanine nucleotide-binding (G) domain"	1	11	253	17501	0.14804895969307	FALSE	"list_cnv_cheese_diff"
"IPR002225 3-beta hydroxysteroid dehydrogenase/isomerase"	1	3	253	17501	0.0427474233977057	FALSE	"list_cnv_cheese_diff"
"IPR008640 Trimeric autotransporter adhesin YadA-like, head domain"	1	1	253	17501	0.0144563167818983	FALSE	"list_cnv_cheese_diff"
"IPR011049 Serralysin-like metalloprotease, C-terminal"	1	1	253	17501	0.0144563167818983	FALSE	"list_cnv_cheese_diff"
"IPR001965 Zinc finger, PHD-type"	1	11	253	17501	0.14804895969307	FALSE	"list_cnv_cheese_diff"
"IPR011011 Zinc finger, FYVE/PHD-type"	1	16	253	17501	0.207917618904815	FALSE	"list_cnv_cheese_diff"
"IPR036691 Endonuclease/exonuclease/phosphatase superfamily"	1	18	253	17501	0.230674572266059	FALSE	"list_cnv_cheese_diff"
"IPR001584 Integrase, catalytic core"	2	9	253	17501	0.00700834071257776	FALSE	"list_cnv_cheese_diff"
"IPR012337 Ribonuclease H-like superfamily"	2	35	253	17501	0.0907538727646034	FALSE	"list_cnv_cheese_diff"
"IPR013103 Reverse transcriptase, RNA-dependent DNA polymerase"	2	6	253	17501	0.00300503216800579	FALSE	"list_cnv_cheese_diff"
"IPR025724 GAG-pre-integrase domain"	2	5	253	17501	0.00202262836513704	FALSE	"list_cnv_cheese_diff"
"IPR043502 DNA/RNA polymerase superfamily"	3	20	253	17501	0.00283716603147914	FALSE	"list_cnv_cheese_diff"
"IPR001509 NAD-dependent epimerase/dehydratase"	2	16	253	17501	0.0218589246163384	FALSE	"list_cnv_cheese_diff"
"IPR003689 Zinc/iron permease"	1	7	253	17501	0.0969256546231392	FALSE	"list_cnv_cheese_diff"
"IPR004698 Zinc/iron permease, fungal/plant"	1	4	253	17501	0.0565881424444759	FALSE	"list_cnv_cheese_diff"
"IPR002293 Amino acid/polyamine transporter I"	1	9	253	17501	0.122858215601006	FALSE	"list_cnv_cheese_diff"
"IPR001683 Phox homology"	1	15	253	17501	0.196288950511785	FALSE	"list_cnv_cheese_diff"
"IPR036871 PX domain superfamily"	1	15	253	17501	0.196288950511785	FALSE	"list_cnv_cheese_diff"
"IPR003840 DNA helicase"	1	2	253	17501	0.028704462602137	FALSE	"list_cnv_cheese_diff"
"IPR010285 DNA helicase Pif1-like"	1	4	253	17501	0.0565881424444759	FALSE	"list_cnv_cheese_diff"
"IPR005599 GPI mannosyltransferase"	2	3	253	17501	0.000618541010999317	TRUE	"list_cnv_cheese_diff"
"IPR005162 Retrotransposon gag domain"	1	4	253	17501	0.0565881424444759	FALSE	"list_cnv_cheese_diff"
"IPR005135 Endonuclease/exonuclease/phosphatase"	1	13	253	17501	0.172519025225405	FALSE	"list_cnv_cheese_diff"
"IPR007889 DNA binding HTH domain, Psq-type"	1	3	253	17501	0.0427474233977057	FALSE	"list_cnv_cheese_diff"
"IPR013112 FAD-binding 8"	1	9	253	17501	0.122858215601006	FALSE	"list_cnv_cheese_diff"
"IPR013121 Ferric reductase, NAD binding domain"	1	8	253	17501	0.10998600728007	FALSE	"list_cnv_cheese_diff"
"IPR008030 NmrA-like domain"	1	8	253	17501	0.10998600728007	FALSE	"list_cnv_cheese_diff"
"IPR001425 Archaeal/bacterial/fungal rhodopsins"	2	6	253	17501	0.00300503216800579	FALSE	"list_cnv_cheese_diff"
"IPR043476 Yro2-like,  7TM domain"	2	6	253	17501	0.00300503216800579	FALSE	"list_cnv_cheese_diff"
"IPR019786 Zinc finger, PHD-type, conserved site"	1	8	253	17501	0.10998600728007	FALSE	"list_cnv_cheese_diff"
"IPR019787 Zinc finger, PHD-finger"	1	8	253	17501	0.10998600728007	FALSE	"list_cnv_cheese_diff"
"IPR013130 Ferric reductase transmembrane component-like domain"	1	6	253	17501	0.0836744187235715	FALSE	"list_cnv_cheese_diff"
"IPR039295 Signaling mucin MSB2"	1	2	253	17501	0.028704462602137	FALSE	"list_cnv_cheese_diff"
"IPR035179 Protein of unknown function DUF5314"	1	1	253	17501	0.0144563167818983	FALSE	"list_cnv_cheese_diff"
"IPR020556 Amidase, conserved site"	1	5	253	17501	0.0702295209643108	FALSE	"list_cnv_cheese_diff"
"IPR023631 Amidase signature domain"	1	7	253	17501	0.0969256546231392	FALSE	"list_cnv_cheese_diff"
"IPR036928 Amidase signature (AS) superfamily"	1	7	253	17501	0.0969256546231392	FALSE	"list_cnv_cheese_diff"
"IPR024774 Pleckstrin homology domain, Mcp5-type"	1	2	253	17501	0.028704462602137	FALSE	"list_cnv_cheese_diff"
"IPR039484 Alpha-1,2-mannosyltransferase ALG9-like"	2	2	253	17501	0.000208170961659333	TRUE	"list_cnv_cheese_diff"
"IPR009730 Micro-fibrillar-associated protein 1, C-terminal"	1	1	253	17501	0.0144563167818983	FALSE	"list_cnv_cheese_diff"
"IPR033194 Microfibrillar-associated protein 1"	1	1	253	17501	0.0144563167818983	FALSE	"list_cnv_cheese_diff"
